Rg;Frequency;Test Level;Sensor Level;Trd Rev Pwr;Gen Out;e-field (dBµV/m);Strommessung F55;Modulation;Comment
---;MHz;V;dBµV;dBm;dBm;dBµV;dBµA;;---
1;150.3778279;1.01158;100.1202;20.39044;-20.9;111.8894;98.69434;"OFF";
1;151.8816062;1.011579;99.72895;18.25325;-21.3;111.5346;96.58697;"OFF";
1;153.4004223;1.01158;99.94806;16.68606;-21.6;111.7901;95.04958;"OFF";
1;154.9344265;1.011579;101.7733;16.64877;-21.8;113.6517;95.0421;"OFF";
1;156.4837707;1.011579;100.7521;16.3313;-21.9;112.6592;94.75443;"OFF";
1;158.0486085;1.011579;101.5188;15.01305;-21.8;113.454;93.46599;"OFF";
1;159.6290945;1.01158;99.99002;13.11515;-21.5;111.9534;91.59789;"OFF";
1;161.2253855;1.011579;100.2518;12.60717;-21.2;112.2292;90.95436;"OFF";
1;162.8376393;1.01158;100.5763;12.94895;-20.9;112.5634;91.11029;"OFF";
1;164.4660157;1.011579;94.37096;10.40068;-20.8;106.3678;88.37617;"OFF";
1;166.1106759;1.011579;89.75;8.972313;-20.7;101.7657;86.76194;"OFF";
1;167.7717826;1.01158;97.08892;8.984058;-20.6;109.128;86.58783;"OFF";
1;169.4495005;1.011579;97.29302;5.795841;-20.8;109.3554;83.21375;"OFF";
1;171.1439955;1.01158;93.32691;2.347668;-21;105.4548;79.57972;"OFF";
1;172.8554354;1.01158;95.28676;-0.5203094;-21.1;107.5004;76.52589;"OFF";
1;174.5839898;1.01158;96.79149;-3.527809;-21;109.091;73.33253;"OFF";
1;176.3298297;1.011579;93.02253;-1.515018;-20.7;105.4446;75.15947;"OFF";
1;178.0931280;1.011579;95.90594;2.508163;-20.3;108.4623;78.9968;"OFF";
1;179.8740593;1.01158;101.0836;8.141872;-20;113.7742;84.44465;"OFF";
1;181.6727999;1.01158;101.6444;11.05562;-20.1;114.4896;87.44189;"OFF";
1;183.4895279;1.011579;104.7811;12.8091;-20.3;117.7824;89.29926;"OFF";
1;185.3244231;1.011579;109.5953;16.71238;-20.7;122.7535;93.30643;"OFF";
1;187.1776674;1.01158;109.9442;18.01517;-21.1;123.2629;94.7131;"OFF";
1;189.0494440;1.011579;110.7213;19.62742;-21.3;124.2005;96.42924;"OFF";
1;190.9399385;1.011579;112.086;21.68952;-21.2;125.7467;98.59522;"OFF";
1;192.8493379;1.011579;111.9335;21.66146;-20.8;125.7972;98.67104;"OFF";
1;194.7778312;1.011579;112.7971;22.03311;-20.4;126.8638;99.14658;"OFF";
1;196.7256096;1.011579;112.6723;22.70479;-20.2;126.724;99.92214;"OFF";
1;198.6928656;1.01158;110.6624;21.55639;-19.9;124.6709;98.87763;"OFF";
1;200.6797943;1.01158;110.7749;22.40791;-20.1;124.6889;99.80829;"OFF";
1;202.6865922;1.01158;107.9689;20.35981;-20.4;121.6895;97.79151;"OFF";
1;204.7134582;1.011579;106.8217;19.64175;-20.8;120.3489;97.10477;"OFF";
1;206.7605928;1.01158;106.3597;19.73374;-21.1;119.8881;97.22808;"OFF";
1;208.8281987;1.01158;104.5762;18.19627;-21.1;118.1376;95.72193;"OFF";
1;210.9164807;1.01158;102.963;17.28962;-20.9;116.5912;94.8466;"OFF";
1;213.0256455;1.01158;102.9789;16.88344;-20.5;116.717;94.47174;"OFF";
1;215.1559019;1.011579;100.5805;15.10761;-20.3;114.4302;92.72723;"OFF";
1;217.3074609;1.01158;97.74664;15.88147;-20.1;111.7306;93.53241;"OFF";
1;219.4805356;1.011579;95.14436;13.99485;-20.3;109.2625;91.67712;"OFF";
1;221.6753409;1.011579;96.0788;13.44788;-20.8;110.3199;91.12886;"OFF";
1;223.8920943;1.011579;96.20865;13.81041;-21.2;110.5693;91.47996;"OFF";
1;226.1310153;1.01158;90.80315;12.15285;-21.1;105.2688;89.81096;"OFF";
1;228.3923254;1.011579;87.70393;11.34494;-20.8;102.2601;88.99161;"OFF";
1;230.6762487;1.011579;83.69765;11.48697;-20.3;98.3272;89.1222;"OFF";
1;232.9830112;1.01158;83.81801;9.238457;-20.1;98.47995;86.86226;"OFF";
1;235.3128413;1.01158;96.82338;10.76994;-20.1;111.5178;88.38231;"OFF";
1;237.6659697;1.01158;101.7685;10.96137;-20.6;116.496;88.5623;"OFF";
1;240.0426294;1.01158;105.2671;12.5231;-21.1;120.0282;90.11258;"OFF";
1;242.4430557;1.011579;107.2793;13.86504;-21.3;122.1032;91.44209;"OFF";
